[06:56:44] 日志路径: D:\APP\Steam\APP\steamapps\workshop\content\3167020\3591672666\logs\mshookl_log_20251026_065644.txt
[06:56:44] 模组启动，开始初始化
[06:56:44] DLL路径: D:\APP\Steam\APP\steamapps\workshop\content\3167020\3591672666
[06:56:44] 父级目录: D:\APP\Steam\APP\steamapps\workshop\content\3167020
[06:56:44] 准备从 D:\APP\Steam\APP\steamapps\workshop\content\3167020\3591672666\configs\ItemIdMappings.json 加载ID映射
[06:56:44] 成功加载ID映射，共 339 个映射项
[06:56:44] 映射示例: 键 431692799 -> 值 95001
[06:56:44] 映射示例: 键 1644237146 -> 值 95002
[06:56:44] 映射示例: 键 1920135019 -> 值 95003
[06:56:44] 映射示例: 键 1287883106 -> 值 100101
[06:56:44] 映射示例: 键 1089661518 -> 值 100001
[06:56:44] ID映射加载完成，将在处理物品时动态管理已使用ID
[06:56:44] 从默认配置文件夹加载了 7 个有效的配置文件
[06:56:44] 从 3592106393 目录加载配置文件: 80000000_战斗机模型藏品.json
[06:56:44] 从 3592106393 目录加载配置文件: 80000001_夜星战车.json
[06:56:44] 从 3592106393 目录加载配置文件: 80000002_兽型辅首.json
[06:56:44] 从 3592106393 目录加载配置文件: 80000003_神鸟凤凰.json
[06:56:44] 从 3592106393 目录加载配置文件: 80000004_镇宅狮子雕像.json
[06:56:44] 从 3592106393 目录加载配置文件: 80000005_战舰模型.json
[06:56:44] 从 3592106393 目录加载配置文件: 80000006_纪念数字币.json
[06:56:44] 从 3592106393 目录加载配置文件: 80000007_手提灯.json
[06:56:44] 从 3592106393 目录加载配置文件: 80000008_鎏金盘龙大花瓶.json
[06:56:44] 从 3592106393 目录加载配置文件: 80000009_重型主战坦克模型.json
[06:56:44] 从 3592106393 目录加载配置文件: 80000010_奔马塑像.json
[06:56:44] 从 3592106393 目录加载配置文件: 80000011_纯金背带裤.json
[06:56:44] 从 3592106393 目录加载配置文件: 80000012_传世金刀.json
[06:56:44] 从 3592106393 目录加载配置文件: 80000013_传世金龙.json
[06:56:44] 从 3592106393 目录加载配置文件: 80000014_蛋仔仔.json
[06:56:44] 从 3592106393 目录加载配置文件: 80000015_古董阔剑.json
[06:56:44] 从 3592106393 目录加载配置文件: 80000016_巅峰巨龙.json
[06:56:44] 从 3592106393 目录加载配置文件: 80000017_古董细剑.json
[06:56:44] 从 3592106393 目录加载配置文件: 80000018_荷鲁斯之眼.json
[06:56:44] 从 3592106393 目录加载配置文件: 80000019_绝密文件.json
[06:56:44] 从 3592106393 目录加载配置文件: 80000020_军用太阳能板.json
[06:56:44] 从 3592106393 目录加载配置文件: 80000021_军用卫星通讯仪.json
[06:56:44] 从 3592106393 目录加载配置文件: 80000022_军用信息终端.json
